id,make,model,model_year,vin
667,Volkswagen,Tiguan,2009,1D7RB1CPXAS908869
668,Audi,A8,2000,3GYFNAE39DS426430
669,Toyota,Sequoia,2001,19UUA65504A662331
670,Mercedes-Benz,CLK-Class,2007,5FRYD3H20GB015770
671,Honda,Accord,2002,JN8AE2KP1E9716568
672,Chrysler,Sebring,1997,3VWPG3AG9AM558707
673,Acura,MDX,2001,3D73M4EL1AG315923
674,Mercedes-Benz,SLR McLaren,2009,2G4GR5GX4E9588935
675,Subaru,Outback,2006,WAUGL78E25A666581
676,Acura,MDX,2005,NM0GE9E71F1938292
677,Volkswagen,Jetta,1993,3VW507AT6EM868478
678,Isuzu,Ascender,2003,1N6AA0CC4EN615035
679,Chevrolet,Malibu,2001,1G6DK1E39D0735699
680,Mitsubishi,Lancer,2003,WAULVBFR5CA382294
681,Jeep,Wrangler,2008,JN1BJ0HR3FM230337
682,GMC,Yukon,1997,1D7RB1GKXAS453407
683,Plymouth,Neon,1999,2C4RDGDG4DR656287
684,Mercury,Grand Marquis,2000,JN1CV6FE4CM870418
685,Ford,Bronco II,1988,SALSF2D49DA905961
686,Infiniti,I,2001,WP0CA2A8XBU003512
687,Toyota,Camry,2010,WA1BY94L17D618841
688,Saab,9-5,2008,1G6AJ5S31F0835462
689,Maybach,62,2006,3N1AB7AP3FY433929
690,Mazda,Protege,1995,5GAKVBKDXEJ264416
691,Buick,Rendezvous,2007,2G4GU5GX1E9625695
692,Buick,Skylark,1987,WBAUN9C50AV401578
693,Mercedes-Benz,SL-Class,1990,1GYEE23A990958990
694,Mercedes-Benz,E-Class,1996,WVWAA7AH8AV711156
695,Audi,TT,2001,1G6DL5EY9B0753777
696,Buick,Regal,1989,JM1CR2W37A0297057
697,Ford,Explorer,1992,WBABD33496J823586
698,Chevrolet,Silverado 1500,2006,3VW1K7AJ2DM780646
699,GMC,Jimmy,1997,JTDKDTB30E1883959
700,Nissan,Titan,2010,WAUVC58E52A810860
701,BMW,M3,2012,3VW467AT2CM979004
702,GMC,Safari,2004,JN8AE2KP5F9081193
703,Ford,Bronco,1984,5TDDK3DC7FS811723
704,BMW,1 Series,2010,1G6AB5R36D0219658
705,Mitsubishi,Space,1984,1GYUKJEFXAR410360
706,Audi,S8,2006,1G6AD5S33D0170746
707,Land Rover,Discovery Series II,1999,TRURD28NX61306803
708,Toyota,Supra,1993,KL4CJDSB3EB496045
709,Mitsubishi,Galant,1990,WBSPM93579E960066
710,Ford,Explorer Sport Trac,2010,1G4GH5E38CF815082
711,Audi,A8,2005,JM3TB2MA1A0246845
712,Mitsubishi,Pajero,2006,2T1BU4EE6DC399470
713,Dodge,Ram 3500,2010,4T1BK1EB0FU329085
714,Infiniti,QX,2004,3VW1K7AJ0FM860336
715,BMW,7 Series,1999,WBAYA8C54ED029746
716,Dodge,Ram Van 1500,2003,KL4CJDSB8EB964609
717,Pontiac,Bonneville,2000,1D7CE3BK4AS132091
718,Chevrolet,Express 2500,2005,WAUKGAFB0BN456229
719,BMW,5 Series,2002,WBA3R1C54FK814498
720,Chrysler,Town & Country,2006,WBA4B1C54FG185644
721,BMW,X6,2008,1N6AF0LY0FN259231
722,Ford,Explorer,2005,WBAEV33404K500089
723,Ford,Crown Victoria,2004,SAJWA4FB4CL712989
724,Maserati,GranSport,2005,JTEBU5JR8D5485113
725,Oldsmobile,Cutlass,1997,YV1382MS2A2105622
726,Aston Martin,V8 Vantage,2007,WAUDG78E26A290196
727,Dodge,Ram Wagon B250,1993,JN8AZ2NCXC9523975
728,Ford,Mustang,1985,2C3CDYBT6CH354097
729,Audi,A8,2009,4JGBF2FB1AA672958
730,Ford,Fiesta,2012,SALCT2BG0FH884714
731,Oldsmobile,Intrigue,2000,3C3CFFERXDT941961
732,Suzuki,SJ,1993,SALVP1BG0EH214294
733,MINI,Cooper Clubman,2010,SALCT2BG3FH783151
734,Chevrolet,Silverado 3500,2011,1C4SDJCT9EC058963
735,Dodge,Grand Caravan,2005,1D4PT7GX0AW371596
736,Cadillac,Eldorado,2001,1G6AU5S81E0860847
737,Lexus,IS-F,2009,WBAVM5C59EV616933
738,GMC,Savana 1500,1996,1C4SDJCT8FC466162
739,BMW,X5,2013,SALSF2D43DA995950
740,Dodge,Ram Van 3500,2001,2B3CK3CV5AH402403
741,Jaguar,XK Series,2004,1GD22XEG3FZ980776
742,Lincoln,MKT,2010,3VWF17AT8FM413442
743,Cadillac,SRX,2007,WA1CGAFE8ED510141
744,Dodge,Sprinter,2008,1GD02ZCG4CF626753
745,Renault,Alliance,1983,WBAWC73539E376366
746,Mazda,RX-7,1995,1C3CDFCB7FD196767
747,Toyota,Previa,1997,WA1LMBFE2AD086612
748,Buick,Rendezvous,2002,WBA3B9C5XFJ584118
749,Suzuki,Swift,1994,1G4GB5GR6FF641438
750,Bentley,Azure T,2010,SCFAB22372K130660
751,Dodge,Dakota Club,2002,SAJWA6FC8E8424385
752,Toyota,Camry,2001,SCFEBBAKXCG342497
753,Mazda,MX-3,1994,WAUDF98E58A416245
754,Ford,Mustang,1993,3C63D3GL1CG675401
755,Mercedes-Benz,SL-Class,1985,WAUKD98PX7A685645
756,Mercury,Mountaineer,1997,1GKUKFDJ7AR035959
757,Buick,Regal,1996,WBAUC9C59CV145806
758,Mitsubishi,Galant,2002,1B3BD1FB7BN975906
759,Toyota,T100,1994,1N6AD0CU7BC541312
760,Chevrolet,Vega,1971,1N6AA0CA9FN039801
761,Nissan,NV2500,2012,SCBGC3ZA7EC022976
762,Chevrolet,Astro,1992,JA32X2HU4DU355595
763,Mercury,Milan,2006,SCFBB03B87G123340
764,Land Rover,Discovery Series II,1999,WBAUT93579A522438
765,Chevrolet,Corvette,1996,TRUDD38J291724533
766,Studebaker,Avanti,1964,WAUHGBFC6CN668983
767,Land Rover,Defender 110,1993,5FNYF3H29AB365272
768,Isuzu,Rodeo,2004,1C6RD6FP0CS007548
769,Isuzu,Hombre,2000,WBAWC33527P378135
770,Eagle,Premier,1992,3GTU1YEJ1DG455939
771,Mercedes-Benz,SL-Class,2004,WBXPC9C44AW773029
772,Honda,Odyssey,2010,JN1BY1PP8FM176972
773,BMW,X5 M,2010,2C3CA9CT7AH437676
774,Lexus,GX,2010,1N4AA5AP7CC966560
775,Infiniti,QX56,2008,1FTEW1E89AF041246
776,Volkswagen,Tiguan,2012,19UUA8F27DA823371
777,Buick,Park Avenue,2003,4T1BF1FK8EU428383
778,Lexus,LS,1997,WBA5M4C57FD260001
779,GMC,Savana,2006,WBANV13588C520507
780,Volkswagen,Eurovan,1999,SCFFDCBDXBG902859
781,Jaguar,XJ Series,1999,WAULD54B14N433746
782,Isuzu,VehiCROSS,2001,1N6AA0EK8FN118673
783,Saturn,S-Series,2002,3C63DRJL0CG732991
784,Toyota,Highlander,2012,1GTN1TEX9DZ514151
785,Ford,Focus,2013,WAUVC68E43A867378
786,Saab,9-7X,2008,WBA3B9C59DF413179
787,Chevrolet,S10,1997,3C3CFFDR2DT125036
788,Isuzu,i-290,2007,WA1DVAFE6AD418823
789,Dodge,Ram 1500,1996,WAUDFAFL0EN807021
790,Volkswagen,Cabriolet,2000,WBA3C1G56EN320846
791,Kia,Sportage,1997,1G6AJ5SX8F0641594
792,Kia,Spectra,2007,KMHCM3ACXBU063061
793,Buick,Regal,2004,WBAPK5C54BF015630
794,Volkswagen,Passat,1998,1G6KD57Y57U338618
795,Jaguar,XJ Series,1997,WA1LGBFE5ED345011
796,Lexus,LX,2006,2C4RVAAG7CR149607
797,Kia,Spectra5,2006,1LNHL9EK7FG031783
798,Pontiac,Montana,2003,5NPEB4AC6CH131733
799,Cadillac,Escalade,2009,5FRYD3H9XGB315703
800,Mazda,CX-9,2010,5TFCW5F17DX577923
801,BMW,7 Series,2011,WAULD54B93N733338
802,GMC,Canyon,2008,1FTSF3A57AE197110
803,Honda,Passport,1998,ZFBCFABH4FZ026340
804,Buick,Rendezvous,2007,JHMFA3F27BS310430
805,Dodge,Caravan,1999,1FTWW3A58AE107321
806,Mercedes-Benz,Sprinter 3500,2012,19UYA427X1A389423
807,Maserati,GranTurismo,2010,1G6DV5EP7E0046053
808,Honda,Accord,2002,1FMJK1FTXFE387568
809,Dodge,Ram Van B350,1994,1GKS1CKJ4FR250444
810,Pontiac,LeMans,1990,1G6DM1E36C0807824
811,Suzuki,Swift,1996,3C3CFFJH6ET451452
812,Chevrolet,Astro,1992,1FTWW3B5XAE411037
813,Lexus,GS,2003,WBADN53432G429302
814,Buick,LeSabre,1997,JTDKDTB34E1693467
815,GMC,Sierra 1500,2001,3FAHP0JA3AR780105
816,Mitsubishi,Sigma,1989,1N6AA0CA0BN726725
817,Mitsubishi,Space,1984,JH4NA21665S535586
818,Chevrolet,Volt,2011,1GKS1AE00BR644248
819,Isuzu,Amigo,1993,JHMGE8G33DC647817
820,Audi,R8,2011,19XFB4F23DE197747
821,Hummer,H1,2001,JTEBU5JR0F5122808
822,Chevrolet,Camaro,1997,2C3CA2CVXAH755574
823,Chevrolet,Tahoe,2013,WBAKE5C50CJ409125
824,Nissan,GT-R,2010,WAUUL98E06A987373
825,Ford,Excursion,2005,ZFBCFABH4FZ040917
826,Mazda,Mazdaspeed 3,2007,WAUDF78E98A718495
827,Nissan,Altima,2008,WBA1M1C51FV715481
828,Audi,4000s,1985,WAUJC58E14A676429
829,Land Rover,Range Rover Sport,2008,WDDGF4HB9CA391955
830,Mercury,Mystique,1999,KNAFU6A23D5540935
831,Jensen,Interceptor,1967,2CTALBEW4A6171917
832,Plymouth,Breeze,1996,WBANE53597C521235
833,Mercury,Villager,1996,1N4AB7APXDN718074
834,Cadillac,Escalade EXT,2006,WVWED7AJ5CW227048
835,Smart,Fortwo,2011,5J8TB4H36DL655900
836,Chevrolet,Aveo,2006,JTEBU5JR8D5477237
837,Chevrolet,Corvette,1975,2C3CCAGGXEH052627
838,Nissan,Pathfinder,2012,1N6AA0CH2FN013294
839,Mazda,626,1997,4T3BA3BB0FU738777
840,Cadillac,Escalade,2005,1FTEW1CW7AK536554
841,Infiniti,G37,2009,3D73M3CLXBG370689
842,Toyota,Venza,2009,1FMJU1H56AE215006
843,Saab,9-5,2001,3C4PDDDG5FT589270
844,Volkswagen,Eos,2011,WAUAF98EX5A599477
845,Buick,LeSabre,1999,JTDKTUD3XDD920079
846,Mercury,Mountaineer,2009,5NPET4AC1AH113974
847,Chevrolet,TrailBlazer,2003,3GYFNGE33FS813366
848,Toyota,4Runner,1993,1G6KE54Y15U423826
849,BMW,3 Series,1996,19UUA65566A196746
850,Mercury,Sable,1989,KMHGN4JE5FU474363
851,GMC,Savana 3500,2002,WBAAV33411E387102
852,Isuzu,i-Series,2008,WBA6B2C51FG232076
853,Ford,Mustang,1984,1FTWX3A51AE410891
854,Dodge,Ram 1500,2010,WBANF33537B009526
855,Mazda,MX-5,2011,SCFAB01A56G576996
856,Lincoln,Town Car,1995,WBAUP7C51CV604044
857,Hyundai,Excel,1994,1G6DD8E37E0006959
858,Mercedes-Benz,S-Class,2006,WBAEV334X3P324671
859,Mercedes-Benz,400SEL,1993,3GYEK63N13G884227
860,Mercedes-Benz,S-Class,2002,2G4GN5EX1E9885126
861,GMC,Envoy XUV,2005,SCBBR9ZAXDC645731
862,Maserati,GranTurismo,2011,1FAHP3DN0AW609633
863,Mercedes-Benz,E-Class,2003,1FTEW1CM0EK424795
864,Chevrolet,Corvette,2001,WAUCFAFC3FN950414
865,Mazda,Miata MX-5,2003,1FMJU1H53AE888092
866,GMC,1500 Club Coupe,1997,KMHGH4JF4BU206897
867,Ford,Explorer Sport,2002,WBAGH03481D470077
868,Porsche,911,2006,3FAHP0CGXBR348212
869,Chrysler,300,2009,1GYS3AKJ6FR855408
870,Infiniti,J,1995,SCFAD01A56G769269
871,Mitsubishi,Lancer,2002,WAUWFAFH8DN400082
872,Mercury,Marquis,1985,1N6AF0KY4EN003433
873,BMW,X3,2007,3D7TT2CT8BG408255
874,Chrysler,Concorde,2000,5FRYD4H64EB308948
875,Dodge,Ram Van 1500,2001,5J6TF1H36BL657767
876,Mitsubishi,Pajero,2005,WDDHF7GB8EB530011
877,Lotus,Exige,2009,5LMJJ2H54BE703399
878,Audi,A8,2004,WAUEH78E87A250725
879,Lexus,ES,1999,2HNYD2H34CH874945
880,Kia,Sportage,2012,SAJWA4DB6EL137848
881,Hyundai,Genesis,2011,1C3CDZCB8CN834757
882,Buick,Electra,1990,2G4WE587371857885
883,Mercury,Grand Marquis,2011,WBA5M4C58FD248133
884,Chevrolet,Venture,1997,WAUEFAFL8BA816217
885,Toyota,T100,1996,1G6DG8EG0A0999581
886,Chevrolet,S10,1995,19VDE1F5XEE284661
887,Land Rover,Freelander,2003,3GYVKLEF7AG955769
888,Ford,Contour,1999,1G6KD57YX1U303984
889,Cadillac,STS,2011,WA1LGBFE4BD564201
890,Kia,Rondo,2009,WBACN53441L905395
891,Lexus,SC,2005,1FTEX1EW2AK322212
892,Kia,Sorento,2003,1FTSW3B57AE749056
893,Honda,CR-V,2004,5UXZV4C53CL913196
894,Honda,Fit,2011,WDCGG5GB4CF118109
895,Nissan,Pathfinder,2008,2LMDJ6JK1DB881054
896,Acura,RL,1998,2C3CCAET1CH304570
897,GMC,Savana 2500,1998,WBAUN93589V519244
898,Volkswagen,Eurovan,1992,1FMCU0F74FU216613
899,Buick,Park Avenue,1997,JTEBU4BFXEK993486
900,GMC,3500,1992,WAUNG74F19N607711
901,Kia,Amanti,2005,5J8TB1H57CA785775
902,Toyota,T100,1998,JTHFE2C20F2050753
903,Audi,A8,2002,3N1AB6AP8CL913385
904,Porsche,911,2002,2HNYD18675H653394
905,Dodge,Ram 1500 Club,1996,1G6DL8EYXB0488966
906,Chevrolet,Avalanche,2006,JTHCL5EFXF5220755
907,Volkswagen,Eurovan,1997,WA1BY74L38D637882
908,Chevrolet,Express 3500,2002,YV4902BZ4E1017350
909,Volkswagen,Golf,2004,5BZBF0AA6EN526836
910,Infiniti,G,1994,JTDKTUD31DD702435
911,Ford,Ranger,1998,5TDDK3DCXBS872915
912,Ford,Escape,2002,KL4CJCSB2EB030696
913,Saab,9-5,2004,1N6AA0CH9DN256873
914,Jaguar,S-Type,2008,3D4PG7FG5BT620410
915,Dodge,Ram Wagon B350,1992,1GYS4AEF2DR363072
916,Porsche,Boxster,2001,1G6DM5E39D0407961
917,Pontiac,GTO,1967,JHMGE8G28AC358872
918,Buick,Rainier,2006,WBA3N7C57FK733056
919,Buick,LeSabre,1985,JN8AE2KP9C9577612
920,BMW,Z4,2008,2T1BPRHE8EC757864
921,Ford,Escort,1992,1LNHL9DR0BG458747
922,Kia,Sorento,2009,JN8AZ1MUXCW492152
923,Kia,Sportage,2000,1N6AD0CU5FN029655
924,Mitsubishi,Starion,1985,JN1CV6EK3EM691359
925,Dodge,Dakota Club,1999,JN1CV6EK1DM102887
926,Ford,Explorer Sport Trac,2001,WBALL5C51EJ978692
927,Audi,V8,1992,JA32X2HU5EU844623
928,Audi,90,1995,WAUDH98E46A030259
929,Chrysler,Town & Country,2011,4A31K5DF0CE329182
930,Acura,RSX,2004,WAU2GAFC6CN882940
931,Infiniti,FX,2006,3D73Y4CLXBG789927
932,Isuzu,i-370,2008,WAUHF78P17A909989
933,BMW,545,2004,1G4GA5ER5DF086453
934,Volkswagen,Rabbit,2010,WBAEV33495K772397
935,Bentley,Continental GT,2008,1FTMF1EW8AF315899
936,Ford,Festiva,1993,1FTWW3A56AE693226
937,Chevrolet,Colorado,2004,WAUCFAFH2AN727852
938,Chevrolet,Colorado,2009,1GYFC33299R575801
939,Pontiac,Bonneville,1996,1GKS1CKJ4FR523592
940,Toyota,Camry,2008,4T1BF1FK6CU843876
941,Mitsubishi,Montero Sport,2001,1G6DH577990642498
942,Chrysler,200,2011,WBAVC73597A739446
943,BMW,M3,2012,1NXBU4EE0AZ750089
944,Pontiac,Torrent,2009,19XFA1E37AE769264
945,Saturn,Aura,2007,JM3KE2BE7E0972451
946,Mercury,Grand Marquis,2005,5J8TB4H5XGL549603
947,Lexus,LS,1990,5GADV23WX7D106040
948,Toyota,Tundra,2009,WA1LFBFP8BA990138
949,Buick,Skyhawk,1984,WA1CGBFE3ED952136
950,GMC,Yukon XL 1500,2013,3GYFNHE36DS085853
951,Cadillac,DTS,2009,SAJWA4EC3CM251398
952,Mazda,RX-8,2010,WAUVT68E95A480635
953,Hyundai,Excel,1992,WBA6B2C53ED410571
954,Mercury,Cougar,1968,5J8TB3H57GL249849
955,Pontiac,6000,1986,1ZVBP8JS3A5822800
956,Porsche,Cayman,2010,4T1BF3EK7AU740931
957,Cadillac,Escalade EXT,2004,3VW217AU6FM142386
958,GMC,Yukon XL 2500,2001,1G6DK8E3XD0530286
959,Chevrolet,Sportvan G20,1994,WBA3T1C52FP997565
960,Spyker,C8 Spyder,2004,WAUJF98KX9N563664
961,Mitsubishi,Eclipse,1996,19XFA1E52BE356851
962,Pontiac,Gemini,1988,3N1CE2CP0FL361570
963,Cadillac,Escalade ESV,2009,5BZAF0AA1EN890951
964,Dodge,Ram 2500 Club,1999,1ZVBP8AM8E5012067
965,Pontiac,6000,1987,5NPE24AF0FH525565
966,Oldsmobile,Alero,2003,5UXFG43528L481799
967,Audi,A5,2009,1GYS4NKJ1FR303934
968,Isuzu,VehiCROSS,1999,WBAPH57519N117167
969,Chevrolet,Caprice Classic,1996,1G6DZ67A980788817
970,Chrysler,Town & Country,1995,1VWAS7A31FC107465
971,Lamborghini,Gallardo,2009,WAUMGAFL1AA264843
972,Kia,Sorento,2003,WA1DGAFE6DD446023
973,Suzuki,Daewoo Magnus,2005,WAUEFAFL2EA543523
974,Buick,Century,1991,4T1BF1FK8EU003505
975,Scion,xB,2006,JH4CU2E82CC468325
976,Chrysler,Pacifica,2006,1GYFK53289R630379
977,BMW,3 Series,2012,WVWAB7AJ5CW598361
978,Chevrolet,Tracker,2004,JN1CV6EK9DM354872
979,Volvo,V70,2007,5N1CR2MN8EC266744
980,Pontiac,Fiero,1986,WA1DKAFP7CA660406
981,Lexus,ES,2011,WBAXH5C50DD259899
982,Land Rover,Discovery,2001,1G6DH5EG0A0412890
983,Saturn,VUE,2004,JN8AS5MT9FW120700
984,Ford,Thunderbird,1990,1N6AA0ED4FN080974
985,Mazda,MX-3,1994,KL4CJDSB0FB875487
986,Lexus,LS,2009,3D7JB1EK8AG000877
987,GMC,Savana,2009,2FMGK5C86FB283740
988,Chevrolet,Express 3500,2002,WBAVT13536K626498
989,Pontiac,Sunfire,2000,1N4AL3AP8EC812828
990,Dodge,Ram Van B150,1992,1G6AF5S38E0461349
991,Chevrolet,G-Series 3500,1997,WAURFAFR7AA467801
992,Saab,900,1991,WAUKH78E67A177289
993,Isuzu,Hombre,1998,2HNYD18963H330557
994,Jaguar,XK Series,2004,3VW4A7AT0DM086362
995,Ford,F-Series,2004,JH4CL96896C459524
996,Dodge,Neon,2002,SALGR2VF4FA649857
997,Kia,Carens,2009,1FTEX1CM7DF883195
998,Chevrolet,Prizm,1999,3D7TP2CT9AG067547
999,Cadillac,Seville,1999,WBAVD33506K662576
1000,Bentley,Continental Super,2012,WBA3N9C58EK669605
